Node 7 final: rounds=7, multicasts=0, min_time=2 (6), avg_time=9.57, max_time=21 (2)
Node 6 final: rounds=7, multicasts=1, min_time=2 (6), avg_time=9.57, max_time=23 (2)
Node 9 final: rounds=7, multicasts=2, min_time=2 (6), avg_time=9.14, max_time=21 (2)
Node 5 final: rounds=7, multicasts=1, min_time=2 (6), avg_time=9.57, max_time=25 (2)
Node 11 final: rounds=7, multicasts=0, min_time=2 (6), avg_time=9.29, max_time=20 (1)
Node 4 final: rounds=7, multicasts=2, min_time=2 (6), avg_time=9.71, max_time=26 (2)
Node 3 final: rounds=7, multicasts=0, min_time=2 (6), avg_time=9.71, max_time=25 (2)
Node 2 final: rounds=7, multicasts=2, min_time=3 (6), avg_time=9.71, max_time=27 (2)
Node 0 final: rounds=7, multicasts=1, min_time=2 (7), avg_time=9.57, max_time=28 (2)
Node 30 final: rounds=6, multicasts=1, min_time=2 (5), avg_time=9.83, max_time=29 (1)
Node 29 final: rounds=6, multicasts=3, min_time=2 (5), avg_time=9.83, max_time=27 (1)
Node 28 final: rounds=6, multicasts=0, min_time=2 (5), avg_time=10.00, max_time=28 (1)
Node 15 final: rounds=7, multicasts=2, min_time=3 (5), avg_time=9.14, max_time=21 (1)
Node 14 final: rounds=7, multicasts=1, min_time=3 (5), avg_time=9.14, max_time=19 (1)
Node 13 final: rounds=7, multicasts=0, min_time=3 (5), avg_time=9.14, max_time=19 (1)
Node 12 final: rounds=7, multicasts=0, min_time=2 (6), avg_time=9.29, max_time=20 (1)
Node 10 final: rounds=7, multicasts=2, min_time=2 (6), avg_time=9.14, max_time=19 (1)
Node 8 final: rounds=7, multicasts=2, min_time=2 (6), avg_time=9.29, max_time=21 (2)

--- Experiment n=64 ---
Node 22 final: rounds=8, multicasts=1, min_time=3 (7), avg_time=29.63, max_time=118 (2)
Node 24 final: rounds=8, multicasts=1, min_time=3 (7), avg_time=29.75, max_time=113 (2)
Node 23 final: rounds=8, multicasts=1, min_time=3 (7), avg_time=29.63, max_time=116 (2)
Node 27 final: rounds=8, multicasts=1, min_time=3 (7), avg_time=29.75, max_time=109 (2)
Node 26 final: rounds=8, multicasts=0, min_time=3 (7), avg_time=29.75, max_time=109 (2)
Node 29 final: rounds=8, multicasts=0, min_time=3 (7), avg_time=29.63, max_time=104 (2)
Node 25 final: rounds=8, multicasts=0, min_time=3 (7), avg_time=29.75, max_time=109 (2)
Node 31 final: rounds=8, multicasts=2, min_time=3 (7), avg_time=29.63, max_time=99 (2)
Node 30 final: rounds=8, multicasts=1, min_time=3 (7), avg_time=29.63, max_time=104 (2)
Node 28 final: rounds=8, multicasts=0, min_time=3 (7), avg_time=29.75, max_time=104 (2)
Node 34 final: rounds=8, multicasts=1, min_time=3 (8), avg_time=29.63, max_time=101 (2)
Node 33 final: rounds=8, multicasts=0, min_time=3 (8), avg_time=29.63, max_time=102 (2)
Node 32 final: rounds=8, multicasts=1, min_time=3 (8), avg_time=29.63, max_time=99 (2)
Node 37 final: rounds=8, multicasts=3, min_time=4 (7), avg_time=29.63, max_time=95 (2)
Node 36 final: rounds=8, multicasts=1, min_time=4 (7), avg_time=29.63, max_time=97 (2)
Node 35 final: rounds=8, multicasts=2, min_time=4 (7), avg_time=29.75, max_time=97 (2)
Node 40 final: rounds=8, multicasts=1, min_time=3 (7), avg_time=29.63, max_time=93 (2)
Node 39 final: rounds=8, multicasts=0, min_time=4 (7), avg_time=29.63, max_time=93 (2)
Node 42 final: rounds=8, multicasts=1, min_time=3 (7), avg_time=29.63, max_time=91 (2)
Node 38 final: rounds=8, multicasts=2, min_time=4 (7), avg_time=29.63, max_time=94 (2)
Node 43 final: rounds=8, multicasts=2, min_time=3 (7), avg_time=29.50, max_time=87 (2)
Node 45 final: rounds=8, multicasts=0, min_time=3 (7), avg_time=29.50, max_time=87 (2)
Node 41 final: rounds=8, multicasts=0, min_time=3 (7), avg_time=29.63, max_time=90 (2)
Node 47 final: rounds=8, multicasts=2, min_time=3 (7), avg_time=29.50, max_time=83 (2)
Node 46 final: rounds=8, multicasts=2, min_time=3 (7), avg_time=29.50, max_time=87 (2)
Node 44 final: rounds=8, multicasts=0, min_time=3 (7), avg_time=29.50, max_time=87 (2)
Node 50 final: rounds=8, multicasts=1, min_time=3 (7), avg_time=29.50, max_time=87 (1)
Node 49 final: rounds=8, multicasts=2, min_time=3 (7), avg_time=29.63, max_time=85 (2)
Node 51 final: rounds=8, multicasts=1, min_time=4 (7), avg_time=29.50, max_time=87 (1)
Node 48 final: rounds=8, multicasts=1, min_time=3 (7), avg_time=29.63, max_time=84 (1)
Node 52 final: rounds=8, multicasts=2, min_time=4 (7), avg_time=29.50, max_time=87 (1)
Node 54 final: rounds=8, multicasts=0, min_time=4 (7), avg_time=29.50, max_time=95 (1)
Node 53 final: rounds=8, multicasts=4, min_time=4 (7), avg_time=29.50, max_time=91 (1)
Node 55 final: rounds=8, multicasts=0, min_time=4 (7), avg_time=29.50, max_time=95 (1)
Node 57 final: rounds=8, multicasts=0, min_time=4 (7), avg_time=29.50, max_time=99 (1)
Node 56 final: rounds=8, multicasts=3, min_time=4 (7), avg_time=29.50, max_time=95 (1)
Node 59 final: rounds=8, multicasts=1, min_time=3 (7), avg_time=29.38, max_time=98 (1)
Node 58 final: rounds=8, multicasts=0, min_time=4 (7), avg_time=29.38, max_time=98 (1)
Node 61 final: rounds=8, multicasts=1, min_time=3 (7), avg_time=29.50, max_time=105 (1)
Node 60 final: rounds=8, multicasts=1, min_time=3 (7), avg_time=29.38, max_time=100 (1)
Node 63 final: rounds=8, multicasts=3, min_time=3 (7), avg_time=29.50, max_time=105 (1)
Node 62 final: rounds=8, multicasts=0, min_time=3 (7), avg_time=29.50, max_time=105 (1)
Node 0 final: rounds=9, multicasts=1, min_time=3 (8), avg_time=27.11, max_time=109 (2)
Node 2 final: rounds=9, multicasts=0, min_time=3 (8), avg_time=27.11, max_time=105 (2)
Node 1 final: rounds=9, multicasts=1, min_time=3 (8), avg_time=27.11, max_time=102 (2)
Node 3 final: rounds=9, multicasts=1, min_time=3 (8), avg_time=27.11, max_time=105 (2)
Node 5 final: rounds=9, multicasts=1, min_time=3 (8), avg_time=27.11, max_time=103 (2)
Node 4 final: rounds=9, multicasts=0, min_time=3 (8), avg_time=27.11, max_time=103 (2)
Node 7 final: rounds=9, multicasts=0, min_time=4 (8), avg_time=27.00, max_time=103 (2)
Node 8 final: rounds=9, multicasts=2, min_time=4 (8), avg_time=27.00, max_time=103 (2)
Node 6 final: rounds=9, multicasts=2, min_time=4 (8), avg_time=27.11, max_time=100 (2)
Node 10 final: rounds=9, multicasts=1, min_time=4 (8), avg_time=27.11, max_time=108 (2)
Node 9 final: rounds=9, multicasts=1, min_time=4 (8), avg_time=27.11, max_time=104 (2)
Node 12 final: rounds=9, multicasts=0, min_time=4 (8), avg_time=27.11, max_time=107 (2)
Node 11 final: rounds=9, multicasts=2, min_time=4 (8), avg_time=27.11, max_time=106 (2)
Node 13 final: rounds=9, multicasts=1, min_time=4 (8), avg_time=27.11, max_time=108 (2)
Node 15 final: rounds=9, multicasts=1, min_time=3 (8), avg_time=27.00, max_time=108 (2)
Node 14 final: rounds=9, multicasts=2, min_time=3 (8), avg_time=27.11, max_time=111 (2)
Node 17 final: rounds=9, multicasts=2, min_time=3 (8), avg_time=27.00, max_time=113 (2)
Node 19 final: rounds=9, multicasts=0, min_time=3 (8), avg_time=27.00, max_time=111 (2)
Node 16 final: rounds=9, multicasts=3, min_time=3 (8), avg_time=27.00, max_time=111 (2)
Node 20 final: rounds=9, multicasts=1, min_time=3 (8), avg_time=27.00, max_time=111 (2)
Node 18 final: rounds=9, multicasts=1, min_time=3 (8), avg_time=27.00, max_time=111 (2)
Node 21 final: rounds=9, multicasts=3, min_time=3 (8), avg_time=27.00, max_time=115 (2)

--- Experiment n=128 ---
Node 21 final: rounds=10, multicasts=0, min_time=5 (7), avg_time=58.00, max_time=240 (2)
Node 25 final: rounds=10, multicasts=1, min_time=5 (10), avg_time=58.00, max_time=236 (2)
Node 26 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=58.00, max_time=232 (2)
Node 27 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=58.00, max_time=229 (2)
Node 24 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=58.00, max_time=240 (2)
Node 23 final: rounds=10, multicasts=0, min_time=5 (7), avg_time=58.00, max_time=240 (2)
Node 22 final: rounds=10, multicasts=2, min_time=5 (7), avg_time=58.00, max_time=240 (2)
Node 30 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=58.10, max_time=226 (2)
Node 29 final: rounds=10, multicasts=3, min_time=5 (9), avg_time=58.00, max_time=229 (2)
Node 28 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=58.00, max_time=229 (2)
Node 32 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=58.00, max_time=226 (2)
Node 31 final: rounds=10, multicasts=2, min_time=5 (9), avg_time=58.00, max_time=226 (2)
Node 33 final: rounds=10, multicasts=2, min_time=5 (9), avg_time=58.00, max_time=226 (2)
Node 34 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=58.00, max_time=228 (2)
Node 35 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=58.00, max_time=228 (2)
Node 36 final: rounds=10, multicasts=2, min_time=5 (9), avg_time=58.00, max_time=222 (2)
Node 37 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=58.00, max_time=222 (2)
Node 38 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=58.00, max_time=222 (2)
Node 39 final: rounds=10, multicasts=2, min_time=5 (9), avg_time=58.00, max_time=222 (2)
Node 40 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=58.00, max_time=222 (2)
Node 41 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.90, max_time=222 (2)
Node 42 final: rounds=10, multicasts=2, min_time=5 (7), avg_time=57.90, max_time=222 (2)
Node 43 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=57.90, max_time=219 (2)
Node 44 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=57.90, max_time=223 (2)
Node 45 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=58.00, max_time=219 (2)
Node 46 final: rounds=10, multicasts=0, min_time=5 (7), avg_time=58.00, max_time=216 (2)
Node 47 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=58.00, max_time=216 (2)
Node 48 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=58.00, max_time=220 (2)
Node 49 final: rounds=10, multicasts=1, min_time=6 (7), avg_time=58.00, max_time=224 (2)
Node 50 final: rounds=10, multicasts=1, min_time=6 (7), avg_time=57.90, max_time=220 (2)
Node 51 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.90, max_time=226 (2)
Node 52 final: rounds=10, multicasts=2, min_time=5 (9), avg_time=57.90, max_time=223 (2)
Node 53 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.90, max_time=218 (2)
Node 54 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.90, max_time=222 (2)
Node 55 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=57.90, max_time=219 (2)
Node 56 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=57.90, max_time=219 (2)
Node 57 final: rounds=10, multicasts=2, min_time=5 (9), avg_time=57.90, max_time=219 (2)
Node 58 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=57.90, max_time=219 (2)
Node 59 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.80, max_time=219 (2)
Node 60 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=57.80, max_time=215 (2)
Node 61 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.80, max_time=215 (2)
Node 62 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=57.80, max_time=215 (2)
Node 63 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.90, max_time=215 (2)
Node 64 final: rounds=10, multicasts=3, min_time=5 (7), avg_time=57.90, max_time=218 (2)
Node 65 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=57.90, max_time=222 (2)
Node 66 final: rounds=10, multicasts=3, min_time=5 (7), avg_time=57.90, max_time=218 (2)
Node 67 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=57.90, max_time=219 (2)
Node 68 final: rounds=10, multicasts=2, min_time=5 (7), avg_time=57.80, max_time=213 (2)
Node 69 final: rounds=10, multicasts=2, min_time=5 (9), avg_time=57.80, max_time=210 (2)
Node 70 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.80, max_time=210 (2)
Node 71 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.80, max_time=207 (2)
Node 72 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.80, max_time=207 (2)
Node 73 final: rounds=10, multicasts=2, min_time=6 (7), avg_time=57.80, max_time=207 (2)
Node 74 final: rounds=10, multicasts=1, min_time=6 (7), avg_time=57.80, max_time=210 (2)
Node 75 final: rounds=10, multicasts=3, min_time=6 (7), avg_time=57.80, max_time=206 (2)
Node 76 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.70, max_time=205 (2)
Node 77 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=57.70, max_time=202 (2)
Node 78 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=57.70, max_time=202 (2)
Node 79 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.70, max_time=202 (2)
Node 80 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=57.70, max_time=205 (2)
Node 81 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.80, max_time=205 (2)
Node 82 final: rounds=10, multicasts=3, min_time=5 (9), avg_time=57.80, max_time=202 (2)
Node 83 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.80, max_time=202 (2)
Node 84 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.80, max_time=199 (2)
Node 85 final: rounds=10, multicasts=2, min_time=5 (9), avg_time=57.70, max_time=199 (2)
Node 86 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=57.70, max_time=201 (2)
