Node 4 final: rounds=9, multicasts=0, min_time=7 (9), avg_time=12.56, max_time=27 (2)
Node 5 final: rounds=9, multicasts=0, min_time=7 (9), avg_time=12.44, max_time=27 (2)
Node 6 final: rounds=9, multicasts=0, min_time=7 (9), avg_time=12.44, max_time=27 (2)
Node 7 final: rounds=9, multicasts=0, min_time=7 (9), avg_time=12.44, max_time=27 (2)
Node 8 final: rounds=9, multicasts=2, min_time=8 (5), avg_time=12.56, max_time=26 (2)
Node 9 final: rounds=9, multicasts=2, min_time=5 (5), avg_time=12.56, max_time=25 (2)
Node 10 final: rounds=9, multicasts=1, min_time=7 (9), avg_time=12.56, max_time=23 (2)
Node 11 final: rounds=9, multicasts=0, min_time=7 (9), avg_time=12.56, max_time=21 (2)
Node 12 final: rounds=9, multicasts=0, min_time=7 (6), avg_time=12.67, max_time=21 (2)
Node 13 final: rounds=9, multicasts=1, min_time=7 (6), avg_time=12.67, max_time=21 (2)
Node 14 final: rounds=9, multicasts=1, min_time=7 (6), avg_time=12.67, max_time=20 (2)
Node 15 final: rounds=9, multicasts=0, min_time=7 (6), avg_time=12.67, max_time=19 (1)
Node 16 final: rounds=9, multicasts=2, min_time=7 (6), avg_time=12.78, max_time=19 (1)
Node 17 final: rounds=9, multicasts=2, min_time=7 (6), avg_time=12.67, max_time=19 (2)
Node 18 final: rounds=9, multicasts=1, min_time=4 (6), avg_time=12.67, max_time=20 (1)
Node 19 final: rounds=9, multicasts=0, min_time=4 (6), avg_time=12.67, max_time=22 (1)
Node 20 final: rounds=9, multicasts=2, min_time=3 (6), avg_time=12.67, max_time=23 (1)
Node 21 final: rounds=9, multicasts=1, min_time=3 (6), avg_time=12.67, max_time=24 (1)

--- Experiment n=64 ---
Node 9 final: rounds=10, multicasts=1, min_time=7 (10), avg_time=33.60, max_time=120 (2)
Node 10 final: rounds=10, multicasts=4, min_time=7 (10), avg_time=33.60, max_time=117 (2)
Node 12 final: rounds=10, multicasts=1, min_time=7 (10), avg_time=33.60, max_time=116 (2)
Node 11 final: rounds=10, multicasts=0, min_time=7 (10), avg_time=33.60, max_time=115 (2)
Node 13 final: rounds=10, multicasts=1, min_time=6 (10), avg_time=33.60, max_time=113 (2)
Node 14 final: rounds=10, multicasts=2, min_time=6 (10), avg_time=33.60, max_time=109 (2)
Node 15 final: rounds=10, multicasts=4, min_time=7 (10), avg_time=33.60, max_time=112 (2)
Node 16 final: rounds=10, multicasts=0, min_time=7 (10), avg_time=33.60, max_time=111 (2)
